('გ', 0.9467467186700229), ('ნ', 0.8279318040913236), ('ხ', 0.8210307002449204), ('ბ', 0.7886322432004632), ('დ', 0.7255490572538248), ('ჯ', 0.699881457820623), ('რ', 0.651487736097335), ('ც', 0.6385700399933085), ('თ', 0.6221660269138887), ('ი', 0.6019423854713271), ('ტ', 0.5270889703194929), ('ღ', 0.5152604991884557), ('ჩ', 0.5105067147733953), ('ჭ', 0.5021699735749224), ('ს', 0.4982987125510929), ('წ', 0.48587133262021287), ('მ', 0.47909763460728927), ('ვ', 0.46518587846292125), ('ყ', 0.4613576754940356), ('ლ', 0.44415055098492073), ('ზ', 0.38923891244476616), ('ო', 0.38081379229695356), ('ფ', 0.3794183788879255), ('შ', 0.37297759998927715), ('ჟ', 0.3470080209975257), ('ძ', 0.3020747025743561), ('ე', 0.25342153560849523), ('პ', 0.24840883319665474), ('უ', 0.142395402715769), ('ა', 0.12203981828594324), ('ჰ', 0.10546463308887943), ('კ', 0.04439494406644351), ('ქ', 0.0)
('დ', 0.9117893427926258), ('ი', 0.8742485294928526), ('ჯ', 0.8098960231951344), ('რ', 0.7887734479807837), ('თ', 0.7520601471473811), ('ტ', 0.6584304753773561), ('გ', 0.6576697700070302), ('ც', 0.6005766813949203), ('ღ', 0.5940135647536653), ('წ', 0.5778890228273477), ('ყ', 0.5642732905086204), ('ბ', 0.5471899721555338), ('ფ', 0.5434500153167576), ('ვ', 0.5424086956871961), ('ლ', 0.5286605140509647), ('შ', 0.4981393323486242), ('ო', 0.4917048834914005), ('მ', 0.47934148958215894), ('ჭ', 0.4782382244827136), ('ნ', 0.4668654103750379), ('ხ', 0.43783107956973843), ('ჟ', 0.42527636084258247), ('ე', 0.32421967612194635), ('უ', 0.29967822638162966), ('ძ', 0.2770044151104152), ('პ', 0.21845095377657808), ('ზ', 0.21009304376447835), ('ს', 0.16468263056414112), ('ჩ', 0.11995175275293579), ('ჰ', 0.07738917372566667), ('ქ', 0.03660335837238571), ('კ', 0.017274379098599746), ('ა', 0.0)
('ყ', 0.9262454143347083), ('ვ', 0.8359972500715525), ('ჟ', 0.7738389624453469), ('ტ', 0.756871078306127), ('ჯ', 0.7374356546592891), ('ჭ', 0.7347115732072621), ('შ', 0.728863547728905), ('ფ', 0.7041509826555292), ('მ', 0.6976111430488423), ('ც', 0.6713191953047198), ('ი', 0.6589146735566725), ('თ', 0.6483454202227383), ('დ', 0.6219812801445767), ('ე', 0.6168012166618086), ('რ', 0.6049214407955521), ('ძ', 0.5361166839548481), ('გ', 0.5152938039627931), ('უ', 0.49271122003596945), ('პ', 0.4736995896933819), ('ბ', 0.43706146499246845), ('წ', 0.4255219605519559), ('ჰ', 0.42382214618049896), ('ღ', 0.42159622670052266), ('ქ', 0.4212525992315326), ('ო', 0.402070761143253), ('კ', 0.3466967715317598), ('ლ', 0.3275326082853648), ('ნ', 0.31494763229322864), ('ხ', 0.31333712741616215), ('ა', 0.22839055907915007), ('ზ', 0.1332978319753011), ('ს', 0.1331445345186083), ('ჩ', 0.0)
('ვ', 0.9588377866466627), ('ყ', 0.8234222544525049), ('ჭ', 0.8200292487782321), ('ც', 0.7462859293099309), ('ე', 0.7210229803505764), ('ტ', 0.7190260711065315), ('ჯ', 0.7136572183409768), ('ჟ', 0.6902643120075886), ('მ', 0.6526209563957082), ('ფ', 0.6454202576123099), ('შ', 0.6218437398105443), ('პ', 0.6173057525683104), ('ძ', 0.6147243629446174), ('ი', 0.5947318724579105), ('დ', 0.5676090203834564), ('რ', 0.5656311099796217), ('ჰ', 0.5644306486651716), ('თ', 0.5630802757365102), ('გ', 0.4927458257331031), ('უ', 0.4810140172017846), ('კ', 0.4753178110430578), ('ქ', 0.4746224448121483), ('ბ', 0.45708614781947776), ('ა', 0.3578731175972494), ('წ', 0.3459989931513451), ('ღ', 0.3403991912723031), ('ო', 0.3046907213320228), ('ხ', 0.3043897203456216), ('ნ', 0.30010370898966576), ('ლ', 0.2648647752379961), ('ს', 0.2135946111713134), ('ზ', 0.14556362723201377), ('ჩ', 0.0)
('ა', 0.9518546577024424), ('ძ', 0.7786071225146801), ('კ', 0.7637237425225757), ('ჰ', 0.7286391909938493), ('პ', 0.7235972346031034), ('ე', 0.6543294784536073), ('ც', 0.5607325978593807), ('ვ', 0.5501778199550797), ('ქ', 0.5466120423983327), ('ჭ', 0.5324934793639258), ('ტ', 0.5301523151703553), ('მ', 0.4948866274759365), ('ყ', 0.47988220263427817), ('ჯ', 0.45203494187424564), ('ჟ', 0.44223704025360067), ('ბ', 0.39061247669331), ('თ', 0.3772996145381231), ('რ', 0.3657255596780673), ('გ', 0.3653657183684914), ('დ', 0.36435144309089307), ('შ', 0.35926454907453054), ('ი', 0.3520383303060983), ('ს', 0.34473291307272647), ('ფ', 0.326129420619492), ('ღ', 0.267011105539411), ('უ', 0.2615991315940377), ('ხ', 0.23824185805971743), ('ნ', 0.21911563972209214), ('ლ', 0.2044053235221691), ('წ', 0.15742053495472452), ('ო', 0.12039350799599902), ('ზ', 0.05521485175559282), ('ჩ', 0.0)
('რ', 0.9327084366772205), ('ჯ', 0.7756722176932167), ('დ', 0.7560265862420419), ('ი', 0.7516496152922356), ('გ', 0.6555119575825205), ('ბ', 0.6484753988177372), ('ტ', 0.6438631299261393), ('ც', 0.6099497657146717), ('თ', 0.5676706697176883), ('წ', 0.5388066483357227), ('ღ', 0.5026510157332778), ('ვ', 0.4988696922735436), ('ყ', 0.4943707193812218), ('ნ', 0.49009210811327497), ('ლ', 0.4870133935155223), ('ხ', 0.48599672869172605), ('ფ', 0.44864052942449983), ('ჭ', 0.439090504937266), ('ო', 0.39024824582764384), ('შ', 0.3591022483599329), ('მ', 0.35222147259578074), ('ზ', 0.35004454274028063), ('ჟ', 0.329241987395561), ('ე', 0.30676440438111363), ('ს', 0.2941753461601808), ('პ', 0.2791952591829091), ('უ', 0.2734041198913807), ('ძ', 0.2581677024866448), ('ჩ', 0.16222453209449472), ('ჰ', 0.07364526776671587), ('კ', 0.031460128098736995), ('ა', 0.016059901713145197), ('ქ', 0.0)
('დ', 0.9590811207260211), ('ი', 0.8491587538782308), ('რ', 0.8007405143899429), ('ჯ', 0.7846671911498979), ('თ', 0.7401328465278596), ('გ', 0.7039230815755049), ('ტ', 0.6348649328004481), ('ღ', 0.6227157815614673), ('წ', 0.6022807936415513), ('ც', 0.5984548224160167), ('ბ', 0.5874175827241335), ('ლ', 0.5632055308314124), ('ნ', 0.5249133786989826), ('ყ', 0.5184741424988828), ('ვ', 0.5082198823905651), ('ფ', 0.5069049598915679), ('ო', 0.496217916538355), ('ხ', 0.49310450941624584), ('ჭ', 0.46041646065475617), ('შ', 0.45665634630351837), ('მ', 0.45440555156600615), ('ჟ', 0.38538026011192317), ('ე', 0.29005989002611865), ('უ', 0.26609175928650697), ('ძ', 0.2590647021767545), ('ზ', 0.24642542628235364), ('ს', 0.2143497874337995), ('პ', 0.20413185127882894), ('ჩ', 0.18641615967351155), ('ჰ', 0.05646900736831484), ('ქ', 0.0041150157947515975), ('ა', 0.003776390887783032), ('კ', 0.0)
('ე', 0.9274009580044165), ('ჰ', 0.8052147248350283), ('ქ', 0.7851280268105914), ('ვ', 0.7597385426505857), ('კ', 0.7593264824625359), ('პ', 0.7425701867709429), ('ძ', 0.735750040873897), ('ყ', 0.7162908245306399), ('ჟ', 0.6834249712501367), ('ჭ', 0.6660727213212029), ('ტ', 0.652755755933868), ('მ', 0.6102609370073042), ('ც', 0.6074754835646297), ('შ', 0.6044975068858353), ('ფ', 0.5891066041666994), ('ჯ', 0.5741899327773201), ('უ', 0.5727088025036107), ('ა', 0.560353936896784), ('ი', 0.5106469241203562), ('თ', 0.49028143848895867), ('რ', 0.4816713805000994), ('დ', 0.4705125890383589), ('გ', 0.3926575788230634), ('ბ', 0.3845972395377607), ('ღ', 0.3470583518732768), ('წ', 0.3176843378812979), ('ო', 0.3059230947619349), ('ლ', 0.29250659738147555), ('ხ', 0.24024046003544985), ('ნ', 0.23583484568023771), ('ს', 0.22681601018238406), ('ზ', 0.1496701818512327), ('ჩ', 0.0)
('ს', 0.8957918117797968), ('ბ', 0.7052110671455191), ('ხ', 0.6674687402029711), ('ნ', 0.6314898373108327), ('გ', 0.5888101903868015), ('ჩ', 0.5677385593873655), ('ც', 0.5112279839042062), ('ზ', 0.494046259413886), ('ჯ', 0.4804200004433379), ('რ', 0.4685391149935283), ('დ', 0.4455760329803461), ('ი', 0.3725316084034107), ('ჭ', 0.36865449143702533), ('ტ', 0.3647577851340198), ('თ', 0.3407940977971379), ('ვ', 0.3326490032683552), ('პ', 0.329858289891794), ('ღ', 0.30095666879338256), ('ლ', 0.2909721093833929), ('ყ', 0.28852650511704103), ('ძ', 0.2880613948002946), ('წ', 0.28084351503642624), ('მ', 0.2807835079131159), ('ა', 0.2643255163988426), ('ე', 0.23092396252118652), ('ფ', 0.19800187432651095), ('ჟ', 0.17669465503941095), ('ო', 0.16941677258652454), ('შ', 0.16667067429484617), ('ჰ', 0.16105628449560927), ('კ', 0.13246510058459693), ('უ', 0.06786694529235815), ('ქ', 0.0)
('დ', 0.9590811207260211), ('ი', 0.8491587538782308), ('რ', 0.8007405143899429), ('ჯ', 0.7846671911498979), ('თ', 0.7401328465278596), ('გ', 0.7039230815755049), ('ტ', 0.6348649328004481), ('ღ', 0.6227157815614673), ('წ', 0.6022807936415513), ('ც', 0.5984548224160167), ('ბ', 0.5874175827241335), ('ლ', 0.5632055308314124), ('ნ', 0.5249133786989826), ('ყ', 0.5184741424988828), ('ვ', 0.5082198823905651), ('ფ', 0.5069049598915679), ('ო', 0.496217916538355), ('ხ', 0.49310450941624584), ('ჭ', 0.46041646065475617), ('შ', 0.45665634630351837), ('მ', 0.45440555156600615), ('ჟ', 0.38538026011192317), ('ე', 0.29005989002611865), ('უ', 0.26609175928650697), ('ძ', 0.2590647021767545), ('ზ', 0.24642542628235364), ('ს', 0.2143497874337995), ('პ', 0.20413185127882894), ('ჩ', 0.18641615967351155), ('ჰ', 0.05646900736831484), ('ქ', 0.0041150157947515975), ('ა', 0.003776390887783032), ('კ', 0.0)
