letter,weight,relative_weight,weight_1,relative_weight_1,weight_2,relative_weight_2,weight_3,relative_weight_3,weight_4,relative_weight_4,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
ქ,632,0.2998102466793169,62,0.12156862745098039,266,0.4889705882352941,113,0.22156862745098038,191,0.35110294117647056,20.28006329113924,36.24683544303797,0.6426687763713079,0.5260721707916115,53225.42879746839,245487.493670886,0.011977824785462715,0.05524438699030485
ღ,786,0.31553592934564434,211,0.3528428093645485,254,0.40705128205128205,210,0.33816425120772947,111,0.1712962962962963,21.673027989821882,22.74681933842239,0.4494136519526496,0.4182080642004306,146300.96819338403,202008.61704834618,0.0235776081236303,0.03255535536898651
ყ,556,0.33840535605599514,117,0.3,177,0.4254807692307692,107,0.2641975308641975,155,0.3587962962962963,17.758992805755394,26.908273381294965,0.5586330935251798,0.4982360265633647,54915.70503597125,135276.32194244614,0.020343301553750876,0.05011256813610709
შ,777,0.35757017947537967,172,0.33076923076923076,270,0.4945054945054945,142,0.26296296296296295,193,0.3403880070546737,23.656370656370655,23.82754182754183,0.5664092664092664,0.438991188991189,101485.25096525134,195808.89060489062,0.02149232886925054,0.04146798704616072
ჩ,604,0.379874213836478,223,0.5717948717948718,85,0.21794871794871795,154,0.3802469135802469,142,0.3506172839506173,11.746688741721854,25.35927152317881,0.37057547385247774,0.46844752929190014,45890.24337748354,124265.0380794707,0.018152068105487734,0.04915352955953906
ც,646,0.3294237633860275,131,0.2799145299145299,165,0.3340080971659919,154,0.3168724279835391,196,0.3820662768031189,17.944272445820435,27.46594427244582,0.4706742346061232,0.5089604667778043,83955.99380804959,147058.75077399387,0.0218321506521612,0.03824156746874972
ძ,560,0.32018296169239563,66,0.15865384615384615,176,0.39819004524886875,151,0.34953703703703703,167,0.3638344226579521,18.50357142857143,29.985714285714284,0.5469866071428572,0.5574175824175824,58431.992857143036,104847.88571428545,0.019101658632064204,0.034275204785577204
წ,867,0.31097560975609756,288,0.4235294117647059,273,0.38235294117647056,156,0.22941176470588234,150,0.21008403361344538,19.162629757785467,27.630911188004614,0.45406574394463667,0.39747628638812854,97302.06920415202,309369.8915801616,0.012518045827186202,0.039800864586205895
ჭ,789,0.3516042780748663,155,0.2849264705882353,231,0.39965397923875434,154,0.28308823529411764,249,0.43079584775086505,17.043092522179975,35.18631178707224,0.5013466413181242,0.5102434595085409,53580.534854245845,280073.6121673008,0.010640482930565057,0.0556194240627613
ხ,638,0.3608597285067873,201,0.45475113122171945,122,0.27601809954751133,163,0.36877828054298645,152,0.3438914027149321,14.294670846394984,27.246081504702193,0.40286881352712073,0.5146290491118077,69766.6018808775,123236.3652037618,0.022319427415259944,0.03942524121759952
ჯ,885,0.3274139844617092,216,0.3323076923076923,229,0.33875739644970415,205,0.3037037037037037,235,0.33475783475783477,25.980790960451976,25.805649717514125,0.4996158192090395,0.4770317253368101,176686.6734463275,226464.5717514123,0.02418308502348174,0.03099618033804019
ჰ,513,0.30247641509433965,45,0.10817307692307693,166,0.39903846153846156,114,0.2638888888888889,188,0.4351851851851852,19.023391812865498,29.415204678362574,0.581399735898887,0.5464462438146649,36757.7192982457,128034.56140350887,0.012778999733781797,0.04451183744058887
